Iteration	Y	var_1	var_2
1.0	-1.9298584760774007	29.033954878793736	-95.61974432993216
2.0	-2.1958768799821526	-25.870500033702697	-80.63478427681467
3.0	-1.8669124920582727	80.85098405388538	-64.44880697250642
4.0	-3.066158708060431	29.414137954734173	29.258336587748772
5.0	-2.478605752973701	4.442683920585139	-69.10305607468052
6.0	-3.068145806552251	28.913749676446997	29.66448340107378
7.0	-3.7804342903088286	-4.3282243854613505	7.1617434951030265
8.0	-3.238432811677215	-36.083176568520884	10.823858274149742
9.0	-3.792464517721748	-0.4049958269093375	-7.465153105444753
10.0	-1.3839910898245793	-100.0	100.0
11.0	-3.819410784151265	-5.1327400508940215	-1.8054585968092485
12.0	-1.3633933647353438	100.0	100.0
13.0	-1.791325805280078	-100.0	-47.81846328850816
14.0	-3.8564759357523153	-0.18965594416607126	-0.07535114686945887
15.0	-3.778479866885356	6.998165665994853	1.5052736904580908
16.0	-1.9165874940529661	-4.703475893813956	100.0
17.0	-1.9037181827873086	100.0	8.508961104080342
18.0	-1.9236520429583979	-99.94559502159589	19.17083664838932
19.0	-2.7954970799358185	-29.736042735941766	45.56499633515426
20.0	-1.4480601613364599	-95.85506673480609	-97.6340010448969
