Iteration	Y	var_1	var_2
1.0	-3.195832482440317	0.0	0.0
2.0	-3.364059185067064	0.26075715207386524	41.342000757986696
3.0	-3.3135416240681734	0.18436773213312477	18.10795469492563
4.0	-2.8816247300414055	50.0	50.0
5.0	-2.8744496697756774	-50.0	50.0
6.0	-2.127324596361485	50.0	-50.0
7.0	-2.1211869899342233	-50.0	-50.0
8.0	-3.220757539536512	25.0	25.0
9.0	-2.670633689068678	-25.0	-25.0
10.0	-2.676047859161536	25.0	-25.0
11.0	-3.216224723117128	-25.0	25.0
12.0	-3.3642125525626962	-0.1015709662661074	41.19873473514022
13.0	-2.6434048744561256	-1.5791147655528288	100.0
14.0	-3.3656368555921055	1.712257384069554	35.727014860177356
15.0	-1.8604214594482822	100.0	100.0
16.0	-1.8621482550435862	-100.0	100.0
17.0	-3.3621974637522634	-4.217524844272986	36.9038884769092
18.0	-1.9746223176033337	99.39251853888976	-6.390722801374153
19.0	-1.3068159363021388	-98.27134159515154	-99.2980603561634
20.0	-2.0210297707870315	-98.42126294115113	-0.8724854311218593
21.0	-1.3460032402170305	92.33883104158073	-99.5609732428747
22.0	-3.3477241974870613	7.534723505588062	44.93335033667168
23.0	-3.288122653688975	-10.512220271413526	54.48873588359723
24.0	-1.6950027209125598	-5.57986473466903	-98.82060776276835
25.0	-3.364873713475027	2.9163259090734073	36.2487040310929
26.0	-3.1431461949962243	14.691269607267003	65.31605429957088
